"Date","Actual","Forecast","error"
2013-01-01,0.152805066858764,0.133303905267002,0.0195011615917623
2013-02-01,0.0935837934460126,0.072625201008282,0.0209585924377306
2013-03-01,0.0768428142077067,0.0718229113145739,0.0050199028931328
2013-04-01,0.0469578277102425,0.0688882883655625,-0.02193046065532
2013-05-01,0.00843845230224272,0.0490215798526484,-0.0405831275504057
2013-06-01,0.0484585609333354,-0.00546877210285266,0.0539273330361881
2013-07-01,0.0205287213871612,-0.0537708283203122,0.0742995497074734
2013-08-01,0.0511328722469262,-0.0591081010965626,0.110240973343489
2013-09-01,0.079560630152093,-0.0365417156671837,0.116102345819277
2013-10-01,0.0997578601794089,-0.0287681088029276,0.128525968982336
2013-11-01,0.150260985902987,-0.0221819039100505,0.172442889813038
2013-12-01,0.14265155141016,-0.00927674814861778,0.151928299558778
2014-01-01,0.130706994779475,-0.000484010930241759,0.131191005709717
2014-02-01,0.150904159143208,0.0227927227340494,0.128111436409159
2014-03-01,0.162478133078376,0.0439080691685642,0.118570063909812
2014-04-01,0.153940955594333,0.0290302542220749,0.124910701372258
2014-05-01,0.171367025467547,0.071344751762203,0.100022273705344
2014-06-01,0.192420341988107,0.0666441010028166,0.12577624098529
2014-07-01,0.192288269139313,0.0784086634036259,0.113879605735687
2014-08-01,0.178032040953267,0.0867536825774866,0.0912783583757804
2014-09-01,0.11192154113786,0.0658983429936993,0.0460231981441607
2014-10-01,0.105516854106171,0.0976942760532362,0.00782257805293481
2014-11-01,0.0531114264120411,0.10419131670506,-0.0510798902930186
2014-12-01,0.019188141079101,0.0723150985630911,-0.0531269574839901
2015-01-01,-0.000204672106697501,-0.0141294426721825,0.013924770565485
2015-02-01,-0.0355216017066882,-0.0223001072539673,-0.0132214944527209
2015-03-01,-0.0639906395729017,0.0193568238105575,-0.0833474633834592
2015-04-01,-0.0869974565499625,-0.0435400963413047,-0.0434573602086578
2015-05-01,-0.104166396757651,-0.00904975197844928,-0.0951166447792017
2015-06-01,-0.160712948712517,-0.0327871865119042,-0.127925762200613
2015-07-01,-0.168483055305817,-0.0826674541626504,-0.0858156011431666
2015-08-01,-0.194738105450106,-0.0822771794412056,-0.1124609260089
2015-09-01,-0.165865118697646,-0.0723203383381524,-0.0935447803594936
2015-10-01,-0.144391415510104,-0.131920329030942,-0.0124710864791618
2015-11-01,-0.12305463753595,-0.110734803572018,-0.0123198339639324
2015-12-01,-0.047450945402753,-0.114779491262958,0.0673285458602051
2016-01-01,-0.028777019739489,-0.0959988401430814,0.0672218204035924
2016-02-01,-0.0149778365185051,-0.0966330531455317,0.0816552166270267
2016-03-01,-0.000134603685332912,-0.100408377177973,0.10027377349264
2016-04-01,0.00490888694845104,-0.0749772708021778,0.0798861577506289
2016-05-01,0.0307181770920968,-0.0643984011056332,0.09511657819773
2016-06-01,0.0514593446777267,-0.0662609122102129,0.11772025688794
2016-07-01,0.0759894183466221,-0.0529623141171317,0.128951732463754
2016-08-01,0.0814292567318864,-0.0382527288655735,0.11968198559746
2016-09-01,0.0846542760982949,-0.02820336262963,0.112857638727925
2016-10-01,0.0831324717307877,0.0259002625405331,0.0572322091902546
2016-11-01,0.0395600752798595,0.013320058041351,0.0262400172385085
2016-12-01,-0.0267126802975373,0.0451825485725717,-0.071895228870109
2017-01-01,-0.0354519722097999,0.0137492038668019,-0.0492011760766018
2017-02-01,-0.0447518009113166,0.00288822193904102,-0.0476400228503576
2017-03-01,-0.0627681014005343,0.0163010378791193,-0.0790691392796536
2017-04-01,-0.0223644803115075,0.0340965435140832,-0.0564610238255907
2017-05-01,-0.0230297140005096,0.0290261975569279,-0.0520559115574375
2017-06-01,-0.00769583018607278,0.0509124095024491,-0.0586082396885219
2017-07-01,-0.0080022576012917,0.0124727827963,-0.0204750403975917
2017-08-01,0.010592268797752,0.0476821702152558,-0.0370899014175038
2017-09-01,0.0118579918795634,0.024047287829598,-0.0121892959500346
2017-10-01,-0.0017107157887386,0.0181059804508035,-0.0198166962395421
2017-11-01,0.00458973996906398,0.0220928660547691,-0.0175031260857051
2017-12-01,-0.00658348588362578,0.0311670220233204,-0.0377505079069462
2018-01-01,-0.0173819320854411,0.029834187303081,-0.0472161193885221
2018-02-01,0.0226189763029048,0.012124882092671,0.0104940942102338
2018-03-01,0.0469488509345366,0.0303054040144581,0.0166434469200785
2018-04-01,0.0363491326909209,0.0197661907248892,0.0165829419660317
2018-05-01,0.00257853658035323,0.0391677113465504,-0.0365891747661972
2018-06-01,-0.0182949123313403,0.0411940317545118,-0.0594889440858521
2018-07-01,-0.0294333449526105,0.048472312093257,-0.0779056570458675
2018-08-01,-0.0442819108704509,0.0259955967623005,-0.0702775076327514
2018-09-01,-0.0415052648504437,0.0339825484828567,-0.0754878133333004
2018-10-01,-0.0415257439896513,0.0379755557866252,-0.0795012997762765
2018-11-01,-0.0403311425772364,0.038353632556315,-0.0786847751335514
2018-12-01,-0.0280035867808541,0.0654815978782137,-0.0934851846590678
2019-01-01,0.00280625147502178,0.0598140737251187,-0.0570078222500969
2019-02-01,-0.00372387540567143,0.0190124782192027,-0.0227363536248741
2019-03-01,-0.0317834401537667,0.0242643569934429,-0.0560477971472096
2019-04-01,-0.0355840259750702,0.0339613418290999,-0.0695453678041701
2019-05-01,-0.0255240833498549,0.0530186030917609,-0.0785426864416158
2019-06-01,-0.0045472603554888,0.0356264786319268,-0.0401737389874156
2019-07-01,-0.0149289969584778,-0.00637737044542845,-0.00855162651304936
2019-08-01,-0.00165597359256253,-0.035044992553531,0.0333890189609685
