"Date","Actual","Forecast","error"
2013-01-01,0.112602852273653,0.0222625582346863,0.0903402940389668
2013-02-01,0.0504336386976085,0.0389271342963051,0.0115065044013034
2013-03-01,0.0457859121797073,0.037315198575635,0.00847071360407229
2013-04-01,0.000120698702430921,0.0506160284638543,-0.0504953297614234
2013-05-01,-0.00840733676552041,0.0265570004377072,-0.0349643372032276
2013-06-01,0.0620543356185239,-0.0165183906736001,0.078572726292124
2013-07-01,0.0402022145851104,-0.0139028342715182,0.0541050488566286
2013-08-01,0.0431501547484041,-0.01616771187438,0.0593178666227841
2013-09-01,0.0310569020279994,-0.020679206058589,0.0517361080865884
2013-10-01,0.0468371290078116,-0.00240886099254806,0.0492459900003597
2013-11-01,0.0168457890677631,0.00258846267114325,0.0142573263966198
2013-12-01,-0.0135957746851885,-0.00994489054390881,-0.00365088414127969
2014-01-01,-0.0196734931979492,-0.0169289806351176,-0.00274451256283156
2014-02-01,0.00798271749852209,-0.00781685315235668,0.0157995706508788
2014-03-01,0.0485037281240936,-0.0152305712749952,0.0637342993990889
2014-04-01,0.0529207311715973,-0.0167140090660022,0.0696347402375995
2014-05-01,0.133415196835224,0.00408479229617551,0.129330404539048
2014-06-01,0.156247326095349,0.0108574825422916,0.145389843553057
2014-07-01,0.150380487977424,0.016555177327565,0.133825310649859
2014-08-01,0.142921441644686,0.0606632220030124,0.0822582196416736
2014-09-01,0.113974404954282,0.0299932460012003,0.0839811589530817
2014-10-01,0.101020224422736,0.0548354595001962,0.0461847649225398
2014-11-01,0.0379518286323233,0.0764813395989898,-0.0385295109666665
2014-12-01,0.0361730158927589,0.0496645347341583,-0.0134915188413994
2015-01-01,0.0419077811618891,0.0200243838097155,0.0218833973521736
2015-02-01,0.0351105993085818,0.0377964876723887,-0.00268588836380691
2015-03-01,-0.00205286381642278,0.021023879279171,-0.0230767430955938
2015-04-01,0.00449662968343567,0.00696365810336784,-0.00246702841993217
2015-05-01,0.0151595977797179,0.00154171732649938,0.0136178804532185
2015-06-01,-0.0169848748136578,-0.00303279735646934,-0.0139520774571885
2015-07-01,-0.0421124532685866,-0.0228371362504113,-0.0192753170181753
2015-08-01,-0.07063220101527,-0.0253930439362115,-0.0452391570790585
2015-09-01,-0.061937775756479,-0.0280260403955343,-0.0339117353609447
2015-10-01,-0.0914940862333982,-0.0333077223241268,-0.0581863639092714
2015-11-01,-0.119325994537369,-0.034577053434389,-0.08474894110298
2015-12-01,-0.143728073898859,-0.0475878731754882,-0.0961402007233708
2016-01-01,-0.12637060203723,-0.0466734482933225,-0.0796971537439075
2016-02-01,-0.124105904434836,-0.0510175014205959,-0.0730884030142401
2016-03-01,-0.103927342941167,-0.0520593039504629,-0.0518680389907041
2016-04-01,-0.0528973292767061,-0.0633211775215347,0.0104238482448286
2016-05-01,-0.00372864299858122,-0.0553975880914379,0.0516689450928566
2016-06-01,0.0962771284961059,-0.0544414705284444,0.15071859902455
2016-07-01,0.0975935822977414,-0.0493212052405556,0.146914787538297
2016-08-01,0.10912806791633,-0.0156593074300342,0.124787375346364
2016-09-01,0.103792739255834,0.00897012233547044,0.0948226169203636
2016-10-01,0.0578062162251571,0.0276914445864975,0.0301147716386596
2016-11-01,0.034446820090678,0.02034750646458,0.014099313626098
2016-12-01,-0.0448177838183792,0.0126878286466095,-0.0575056124649887
2017-01-01,-0.0216041639511193,0.0298456413418642,-0.0514498052929835
2017-02-01,-0.0276988111844441,0.00973151605813006,-0.0374303272425742
2017-03-01,-0.0191384631575389,0.0147314800996033,-0.0338699432571422
2017-04-01,0.0253262555056306,0.0202872660328998,0.00503898947273082
2017-05-01,0.00511325518918149,0.0160562625762308,-0.0109430073870493
2017-06-01,0.0181051035208419,0.0213432490534539,-0.00323814553261202
2017-07-01,-0.0138478082586806,0.0182340152652955,-0.0320818235239761
2017-08-01,-0.0170529897268725,0.0207189043139453,-0.0377718940408178
2017-09-01,-0.0436296382429955,0.0116100735963472,-0.0552397118393427
2017-10-01,-0.0476907358171381,0.00418404316887961,-0.0518747789860177
2017-11-01,-0.0281429691896911,0.00646441096552763,-0.0346073801552187
2017-12-01,-0.0258009337069147,0.0110361302508853,-0.0368370639578
2018-01-01,0.0058455506573889,-0.000533124550547042,0.00637867520793594
2018-02-01,0.0276452585246245,-0.00367050759020595,0.0313157661148305
2018-03-01,0.0554876301225589,0.0135409621619151,0.0419466679606438
2018-04-01,0.0459800200283995,0.000495126980745447,0.045484893047654
2018-05-01,0.032732709158755,0.0192663907006223,0.0134663184581327
2018-06-01,0.0192174478232889,0.0146230023361714,0.00459444548711753
2018-07-01,-0.02322748274283,-0.000168171289064798,-0.0230593114537652
2018-08-01,-0.00502628222171975,0.0183281848902447,-0.0233544671119645
2018-09-01,-0.00853877918802226,0.0231452602187852,-0.0316840394068074
2018-10-01,-0.00963088733747863,0.0103891201309151,-0.0200200074683937
2018-11-01,-0.0301541725784018,0.0181999136745083,-0.0483540862529101
2018-12-01,-0.0375123601546292,0.0343942944079959,-0.0719066545626251
2019-01-01,-0.00620586220978048,0.0430447110864104,-0.0492505732961908
2019-02-01,-0.0392556286487311,0.0185829945517251,-0.0578386232004562
2019-03-01,-0.0329664856624214,0.0267003026395639,-0.0596667883019853
2019-04-01,-0.0318948566521726,0.0195008104158505,-0.0513956670680231
2019-05-01,-0.0101769699988346,0.0264362817396085,-0.0366132517384431
2019-06-01,0.00950877337377509,0.037547934516531,-0.0280391611427559
2019-07-01,0.00901211368480226,-0.00504299082327423,0.0140551045080765
