"date","y","yhat","error"
2013-12-01,0.14265155141016,-0.00527894878395769,0.147930500194118
2014-01-01,0.130706994779475,-0.0242808047361532,0.154987799515628
2014-02-01,0.150904159143208,-0.0371463411855746,0.188050500328783
2014-03-01,0.162478133078376,-0.0246525676983325,0.187130700776708
2014-04-01,0.153940955594333,-0.0253646698134404,0.179305625407773
2014-05-01,0.171367025467547,-0.0309057211245475,0.202272746592095
2014-06-01,0.192420341988107,-0.0241434700971492,0.216563812085256
2014-07-01,0.192288269139313,-0.0282387335280011,0.220527002667314
2014-08-01,0.178032040953267,-0.0178335584974895,0.195865599450756
2014-09-01,0.11192154113786,0.0036308247182329,0.108290716419627
2014-10-01,0.105516854106171,-0.0217150396567873,0.127231893762958
2014-11-01,0.0531114264120411,0.0248578923251069,0.0282535340869342
2014-12-01,0.019188141079101,-0.00674056381970921,0.0259287048988102
2015-01-01,-0.0002046721066975,-0.0314716413663172,0.0312669692596197
2015-02-01,-0.0355216017066882,-0.0215216305003208,-0.0139999712063674
2015-03-01,-0.0639906395729017,-0.0144442123884017,-0.0495464271845
2015-04-01,-0.0869974565499625,-0.0294057126835728,-0.0575917438663897
2015-05-01,-0.104166396757651,-0.0160205031193449,-0.0881458936383061
2015-06-01,-0.160712948712517,-0.00603998208367259,-0.154672966628844
2015-07-01,-0.168483055305817,-0.0251665861411238,-0.143316469164693
2015-08-01,-0.194738105450106,-0.024123360553228,-0.170614744896878
2015-09-01,-0.165865118697646,-0.0393255305511449,-0.126539588146501
2015-10-01,-0.144391415510104,-0.022320508493407,-0.122070907016697
2015-11-01,-0.12305463753595,-0.00552561392117154,-0.117529023614778
2015-12-01,-0.047450945402753,-0.02771155730539,-0.019739388097363
2016-01-01,-0.028777019739489,-0.0425774186733881,0.0138003989338991
2016-02-01,-0.0149778365185051,-0.0445218196631361,0.029543983144631
2016-03-01,-0.00013460368533291,-0.0324387738246301,0.0323041701392972
2016-04-01,0.00490888694845104,-0.0440209291083344,0.0489298160567854
2016-05-01,0.0307181770920968,-0.0262416870148795,0.0569598641069763
2016-06-01,0.0514593446777267,-0.045312896221434,0.0967722408991608
2016-07-01,0.0759894183466221,-0.0297670634512382,0.10575648179786
2016-08-01,0.0814292567318864,-0.042888620229591,0.124317876961477
2016-09-01,0.0846542760982949,-0.0180604013228802,0.102714677421175
2016-10-01,0.0831324717307877,-0.00644690670341173,0.0895793784341994
2016-11-01,0.0395600752798595,0.00966709586320243,0.0298929794166571
2016-12-01,-0.0267126802975373,0.0269358854162794,-0.0536485657138167
2017-01-01,-0.0354519722097999,-0.0282395885961096,-0.00721238361369027
2017-02-01,-0.0447518009113166,-0.0331911734607029,-0.0115606274506137
2017-03-01,-0.0627681014005343,-0.0203669953628369,-0.0424011060376974
2017-04-01,-0.0223644803115075,-0.0377920964601667,0.0154276161486592
2017-05-01,-0.0230297140005096,-0.00587029194407976,-0.0171594220564298
2017-06-01,-0.00769583018607278,-0.0265655481128732,0.0188697179268005
2017-07-01,-0.0080022576012917,-0.00865824214722559,0.000655984545933894
2017-08-01,0.010592268797752,-0.0322658039653614,0.0428580727631134
2017-09-01,0.0118579918795634,-0.0105907279378438,0.0224487198174072
2017-10-01,-0.0017107157887386,-0.00368878011150129,0.00197806432276269
2017-11-01,0.00458973996906398,-0.015508370750783,0.020098110719847
2017-12-01,-0.00658348588362578,-0.0140723036132305,0.00748881772960474
2018-01-01,-0.0173819320854411,-0.0255129067785295,0.00813097469308844
2018-02-01,0.0226189763029048,-0.0300046646652925,0.0526236409681973
2018-03-01,0.0469488509345366,-0.0251054479726661,0.0720542989072027
2018-04-01,0.0363491326909209,-0.00533255254394889,0.0416816852348698
2018-05-01,0.00257853658035323,-0.00316844685823876,0.00574698343859199
2018-06-01,-0.0182949123313403,-0.012570860633831,-0.00572405169750932
2018-07-01,-0.0294333449526105,-0.00638156051106025,-0.0230517844415502
2018-08-01,-0.0442819108704509,-0.0185001573793696,-0.0257817534910813
2018-09-01,-0.0415052648504437,-0.00913781473443351,-0.0323674501160102
2018-10-01,-0.0415257439896513,-0.0127917283081751,-0.0287340156814762
2018-11-01,-0.0403311425772364,-0.0133391746952908,-0.0269919678819456
2018-12-01,-0.0280035867808541,-0.0236291136142601,-0.00437447316659397
2019-01-01,0.00280625147502178,-0.0358998239754015,0.0387060754504233
2019-02-01,-0.00372387540567143,-0.00982620294498702,0.00610232753931559
2019-03-01,-0.0317834401537667,-0.0144279070431267,-0.0173555331106399
2019-04-01,-0.0355840259750702,-0.0155564955606153,-0.0200275304144549
2019-05-01,-0.0255240833498549,-0.0268901047494643,0.00136602139960943
2019-06-01,-0.0045472603554888,-0.0284116092650028,0.023864348909514
2019-07-01,-0.0149289969584778,-0.0172202627392712,0.00229126578079336
2019-08-01,-0.00165597359256253,-0.02976476326109,0.0281087896685274
2019-09-01,-0.018308672201762,-0.0107188732469851,-0.00758979895477691
2019-10-01,-0.0274434918365118,-0.0144459420382786,-0.0129975497982332
2019-11-01,-0.0417552591273243,-0.013638256881959,-0.0281170022453653
2019-12-01,-0.0498543318118685,-0.0160763205420332,-0.0337780112698353
2020-01-01,-0.0514384350898665,-0.0160258923137323,-0.0354125427761341
2020-02-01,-0.0432003197929163,-0.0121832292760468,-0.0310170905168695
2020-03-01,0.00953759753388628,-0.0301230925441709,0.0396606900780572
2020-04-01,0.0120481328731561,-0.0160114457610898,0.0280595786342459
2020-05-01,0.0176786289878725,-0.0198701902321361,0.0375488192200086
2020-06-01,0.0232373199206481,-0.0143545807542781,0.0375919006749262
