"date","Y_log_return_1m","yhat_ar1","error"
2013-01-01,0.0433277315725347,0.0180742613246476,0.0252534702478871
2013-02-01,0.0188362061757648,0.0126190912768721,0.00621711489889267
2013-03-01,0.0310441793330449,0.00464365757346656,0.0264005217595783
2013-04-01,0.0318171684873283,0.00874303404940872,0.0230741344379196
2013-05-01,-0.0371835223456314,0.00908342796636608,-0.0462669503119975
2013-06-01,0.024761089050612,-0.0137398392833832,0.0385009283339952
2013-07-01,-0.0188414820035101,0.00627570096263588,-0.025117182966146
2013-08-01,0.0141884796578635,-0.00765668110718099,0.0218451607650445
2013-09-01,-0.0146210341442314,0.00292058320129733,-0.0175416173455287
2013-10-01,0.023289133019377,-0.00629722362248465,0.0295863566418616
2013-11-01,0.0332781500384129,0.00578479588712175,0.0274933541512911
2013-12-01,0.00290896801719853,0.00908397388942007,-0.00617500587222154
2014-01-01,-0.0158935418402164,-0.000562693748271456,-0.0153308480919449
2014-02-01,0.00209522693745878,-0.00656715925702504,0.00866238619448382
2014-03-01,0.00115919283558075,-0.000874121935910952,0.0020333147714917
2014-04-01,-0.00670220692067147,-0.00115414403736275,-0.00554806288330872
2014-05-01,0.00283658628546135,-0.00368862794621016,0.00652521423167151
2014-06-01,-0.0031687504955622,-0.000659581244260313,-0.00250916925130189
2014-07-01,0.0117626688562549,-0.00258265713997226,0.0143453259962272
2014-08-01,0.0426162375630303,0.00217761003619294,0.0404386275268374
2014-09-01,0.00557619588308444,0.0121139082145069,-0.00653771233142245
2014-10-01,0.0737922587429551,0.000274677527494512,0.0735175812154606
2014-11-01,0.0256687155455859,0.0222364306586622,0.0034322848869237
2014-12-01,-0.00903558861348674,0.00688981891534319,-0.0159254075288299
2015-01-01,0.00430362252351646,-0.00425029876911777,0.00855392129263423
2015-02-01,0.0136692008726271,2.64283495844338e-05,0.0136427725230427
2015-03-01,-0.00737798464846229,0.00305466118379159,-0.0104326458322539
2015-04-01,0.0107238629525428,-0.00369629275694636,0.0144201557094892
2015-05-01,0.0238899028060215,0.00210375749544614,0.0217861453105754
2015-06-01,-0.00330082334435655,0.00640206321298288,-0.00970288655733943
2015-07-01,-0.00249355932979078,-0.0022957109278038,-0.000197848401986977
2015-08-01,-0.0234942622523775,-0.00202651251489411,-0.0214677497374834
2015-09-01,-0.00082849114860383,-0.00881300569546813,0.0079845145468643
2015-10-01,0.021386831048825,-0.00158690809033786,0.0229737391391629
2015-11-01,-0.00825456978735417,0.00554653913106979,-0.013801108918424
2015-12-01,-0.0284284017992853,-0.00389331845016267,-0.0245350833491226
2016-01-01,-0.0310133070764742,-0.0103175180025903,-0.0206957890738839
2016-02-01,-0.0147998369935864,-0.0111942017256761,-0.00360563526791031
2016-03-01,-0.030384801625523,-0.00600998285078902,-0.024374818774734
2016-04-01,-0.00644507725514565,-0.0111012941197661,0.00465621686462048
2016-05-01,-0.0326566491488443,-0.00339404346757876,-0.0292626056812655
2016-06-01,-0.0110709299376568,-0.0117794527647537,0.000708522827096925
2016-07-01,-0.0287486094740794,-0.00493094147346504,-0.0238176680006144
2016-08-01,0.00537872450008248,-0.0106689113595344,0.0160476358596168
2016-09-01,0.0206452120389375,0.000424732491078518,0.020220479547859
2016-10-01,0.0427236090229792,0.00535493691301028,0.0373686721099689
2016-11-01,0.0673491223458429,0.0125577087009743,0.0547914136448686
2016-12-01,-0.00975447613602132,0.0210357605172979,-0.0307902366533192
2017-01-01,-0.0172141238554904,-0.00421281709922171,-0.0130013067562687
2017-02-01,4.33958395857914e-05,-0.00656799045225306,0.00661138629183885
2017-03-01,-0.0253413109917391,-0.000942037822129926,-0.0243992731696092
2017-04-01,0.0193642128885001,-0.00924210904910229,0.0286063219376024
2017-05-01,-0.0119154815632143,0.00538741883037002,-0.0173029003935843
2017-06-01,0.0134591437312386,-0.00457866893076302,0.0180378126620016
2017-07-01,-0.0233087710888151,0.00342446924806464,-0.0267332403368797
2017-08-01,0.00860374386649099,-0.00807285809622512,0.0166766019627161
2017-09-01,0.0191234076714304,0.00195351050219994,0.0171698971692305
2017-10-01,-0.00084878742794902,0.00525248903893963,-0.00610127646688865
2017-11-01,0.00107636676844614,-0.00109098716282018,0.00216735393126632
2017-12-01,-0.018493768048284,-0.00048830484636954,-0.0180054632019145
2018-01-01,-0.0265139525570071,-0.00670626117832727,-0.0198076913786798
2018-02-01,-0.017972904649632,-0.00932138073061825,-0.00865152391901375
2018-03-01,0.0150623100972878,-0.0066933110198787,0.0217556211171665
2018-04-01,0.018698979199498,0.0036446219642955,0.0150543572352025
2018-05-01,0.00341840225122247,0.00482595012237169,-0.00140754787114922
2018-06-01,0.0131527163160197,7.73618567480305e-05,0.0130753544592717
2018-07-01,-0.00471424468977144,0.00312410563348206,-0.0078383503232535
2018-08-01,0.00986946694830237,-0.00250968763952456,0.0123791545878269
2018-09-01,0.00555470000312841,0.00197033366759586,0.00358436633553255
2018-10-01,0.00545166832985355,0.000495216229016699,0.00495645210083685
2018-11-01,-0.0100968590842436,0.00060100656342092,-0.0106978656476645
2018-12-01,-0.0292922142500993,-0.00424350907022154,-0.0250487051798778
2019-01-01,0.0134869558313389,-0.0103616433209267,0.0238485991522656
2019-02-01,0.00635696998199986,0.00296651656226433,0.00339045341973553
2019-03-01,0.00446259185367204,0.000763020289357387,0.00369957156431465
2019-04-01,-0.0150716169110696,0.000396963116747917,-0.0154685800278175
2019-05-01,-0.017455046660471,-0.00560945802456357,-0.0118455886359074
2019-06-01,0.00201428369474943,-0.00650632305970782,0.00852060675445725
